,datetime,lat,lon,elev,t,td,p,slp,ww,tw,wwflag,ti,area1_t,area2_t,area3_t,freezing_level1_t,freezing_level2_t,freezing_level3_t,lapse_rate_t,lowest_t,lowest_p_t,lowest_z_t,type_t,PA_t,NA_t,area1_tw,area2_tw,area3_tw,freezing_level1_tw,freezing_level2_tw,freezing_level3_tw,lapse_rate_tw,lowest_tw,lowest_p_tw,lowest_z_tw,type_tw,PA_tw,NA_tw,area1_ti,area2_ti,area3_ti,freezing_level1_ti,freezing_level2_ti,freezing_level3_ti,lapse_rate_ti,lowest_ti,lowest_p_ti,lowest_z_ti,type_ti,PA_ti,NA_ti,ID
2710,1981-05-31 12:00:00,   66.1700,  190.1700,    7.0000,   -1.0000,   -2.0000, 1013.7093, 1014.6000,   71.0000,   -1.3900,    2.0000,   -1.3294,  -90.6682,  232.9363,    0.0000, 2790.8961,    0.0000,    0.0000,    8.1395,   -1.3000, 1014.0000,    7.0000,    2.0000,  232.9363,  -90.6682, -112.6292,   25.5758,   -0.5998, 1722.6790,    0.0000,    0.0000,    8.2281,   -1.6684, 1014.0000,    7.0000,    2.0000,   25.5758, -112.6292, -109.7682,   18.2629,   -8.4430, 1371.9646,    0.0000,    0.0000,    7.9082,   -1.6106, 1014.0000,    7.0000,    2.0000,   18.2629, -109.7682,25399
3613,1987-05-31 12:00:00,   66.1700,  190.1700,    7.0000,   -1.9000,   -2.5000, 1009.1104, 1010.0000,   85.0000,   -2.1300,    2.0000,   -2.0286,  -88.1928,   39.5221,  -41.2349, 1405.1429,    0.0000,    0.0000,    6.8571,   -1.9000, 1009.0000,    7.0000,    2.0000,   39.5221,  -88.1928,  -97.9688,   11.7823,  -98.3223, 1032.1940,    0.0000,    0.0000,    6.5319,   -2.3303, 1009.0000,    7.0000,    2.0000,   11.7823,  -97.9688,  -94.3888,   10.0965,  -98.3393, 1016.8784,    0.0000,    0.0000,    6.2485,   -2.2471, 1009.0000,    7.0000,    2.0000,   10.0965,  -94.3888,25399
4039,1989-05-28 12:00:00,   66.1700,  190.1700,    7.0000,    0.5000,   -0.6000, 1000.8254, 1001.7000,   61.0000,    0.0500,    1.0000,    0.0281,  190.7377,  -16.5557,    0.0000, 1573.0870,    0.0000,    0.0000,  -15.9794,    0.6000, 1002.0000,    7.0000,    1.0000,  190.7377,nan,  148.0039,  -20.1993,    0.0000, 1506.6712,    0.0000,    0.0000,  -14.3613,    0.0086, 1002.0000,    7.0000,    1.0000,  148.0039,nan,   -0.0008,  135.1460,  -19.3086, 1501.0254,    0.0000,    0.0000,  -13.2751,   -0.0345, 1002.0000,    7.0000,    2.0000,  135.1460,   -0.0008,25399
4046,1989-06-06 00:00:00,   66.1700,  190.1700,    7.0000,   -0.3000,   -1.5000, 1018.5074, 1019.4000,   61.0000,   -0.7700,    1.0000,   -0.7496,  -44.3866,   38.9988,   -6.5414, 1616.3846,    0.0000,    0.0000,    6.5491,   -0.3000, 1019.0000,    7.0000,    2.0000,   38.9988,  -44.3866,  -49.8206,   37.9246,   -6.5414, 1616.3846,    0.0000,    0.0000,    5.3074,   -0.9373, 1019.0000,    7.0000,    2.0000,   37.9246,  -49.8206,  -47.8735,   35.2942,   -6.1477, 1616.2480,    0.0000,    0.0000,    4.9612,   -0.9352, 1019.0000,    7.0000,    2.0000,   35.2942,  -47.8735,25399
4800,1997-04-26 00:00:00,   66.1700,  190.1700,    7.0000,   -5.5000,   -6.6000, 1000.2000, 1000.6000,   83.0000,   -5.8500,    1.0000,   -5.6222,  -98.5144,   23.9837, -124.7030,  991.7021,    0.0000,    0.0000,  -15.9664,   -6.9000, 1003.0000,    7.0000,    2.0000,   23.9837,  -98.5144, -114.0586,    2.8623, -151.6925,  762.2407,    0.0000,    0.0000,  -13.6159,   -7.3827, 1003.0000,    7.0000,    2.0000,    2.8623, -114.0586, -111.2677,    1.8869, -146.5102,  738.6472,    0.0000,    0.0000,  -12.9182,   -7.1385, 1003.0000,    7.0000,    2.0000,    1.8869, -111.2677,25399
4944,1978-06-04 12:00:00,   70.1300,  216.4200,    2.0000,   -2.0000,   -3.0000, 1018.6000, 1020.6000,   71.0000,   -2.3700,    2.0000,   -2.2676,  -44.8376,  210.3041,   -1.3521, 1893.5082,    0.0000,    0.0000,  -10.3734,   -2.8000, 1019.0000,   15.0000,    2.0000,  210.3041,  -44.8376,  -64.3139,   41.7614,  -64.6371, 1241.6315,    0.0000,    0.0000,   -1.6127,   -3.0401, 1019.0000,   15.0000,    2.0000,   41.7614,  -64.3139,  -63.6795,   32.2213,  -69.8068, 1227.6730,    0.0000,    0.0000,   -0.8846,   -2.9129, 1019.0000,   15.0000,    2.0000,   32.2213,  -63.6795,70086
4965,1978-08-26 12:00:00,   70.1300,  216.4200,    2.0000,   -1.0000,   -1.0000, 1008.1000, 1010.0000,   71.0000,   -1.0000,    2.0000,   -0.9468,   -0.9031,    0.0256,  -98.4799,   70.0556,    0.0000,    0.0000,    2.4793,   -0.9000, 1007.8000,   15.0000,    2.0000,    0.0256,   -0.9031,   -0.9031,    0.0256,  -98.4799,   70.0556,    0.0000,    0.0000,    2.4793,   -0.9000, 1007.8000,   15.0000,    2.0000,    0.0256,   -0.9031,   -0.8551,    0.0241,  -93.0426,   70.0257,    0.0000,    0.0000,    2.3507,   -0.8519, 1007.8000,   15.0000,    2.0000,    0.0241,   -0.8551,70086
4971,1978-09-16 12:00:00,   70.1300,  216.4200,    2.0000,   -1.0000,   -1.0000, 1005.8000, 1007.6000,   71.0000,   -1.0000,    2.0000,   -0.9467,   -0.1538,    7.6258, -235.9254,  200.8000,    0.0000,    0.0000,    4.8364,   -0.8000, 1004.7000,   15.0000,    2.0000,    7.6258,   -0.1538,   -0.2448,    4.9512, -236.2763,  182.8318,    0.0000,    0.0000,    4.6087,   -0.9601, 1004.7000,   15.0000,    2.0000,    4.9512,   -0.2448,   -0.2405,    4.4780, -224.3098,  180.9309,    0.0000,    0.0000,    4.3758,   -0.9207, 1004.7000,   15.0000,    2.0000,    4.4780,   -0.2405,70086
5054,1979-05-21 12:00:00,   70.1300,  216.4200,    2.0000,   -2.0000,   -3.0000, 1013.2000, 1015.3000,   71.0000,   -2.3700,    2.0000,   -2.2684,  -34.2672,    5.4679, -128.7518,  771.2105,    0.0000,    0.0000,   -6.6098,   -2.2000, 1012.9000,   15.0000,    2.0000,    5.4679,  -34.2672,  -35.1838,    5.4679, -128.7518,  771.2105,    0.0000,    0.0000,   -7.6723,   -2.6983, 1012.9000,   15.0000,    2.0000,    5.4679,  -35.1838,  -33.5055,    5.1341, -122.4672,  770.8441,    0.0000,    0.0000,   -7.3595,   -2.6050, 1012.9000,   15.0000,    2.0000,    5.1341,  -33.5055,70086
5055,1979-05-26 00:00:00,   70.1300,  216.4200,    2.0000,   -1.0000,   -2.0000, 1008.8000, 1010.9000,   71.0000,   -1.3900,    2.0000,   -1.3303,  -66.5605,  245.9845,   -0.3594, 1951.5410,    0.0000,    0.0000,    6.3319,   -1.1000, 1008.8000,   15.0000,    2.0000,  245.9845,  -66.5605,  -75.2491,   15.0318,  -67.4837, 1180.4806,    0.0000,    0.0000,    5.4123,   -1.5212, 1008.8000,   15.0000,    2.0000,   15.0318,  -75.2491,  -72.8068,    5.5179,  -75.6856, 1083.8374,    0.0000,    0.0000,    5.0973,   -1.4740, 1008.8000,   15.0000,    2.0000,    5.5179,  -72.8068,70086
5060,1979-06-05 12:00:00,   70.1300,  216.4200,    2.0000,   -3.0000,   -3.0000, 1009.5000, 1011.5000,   71.0000,   -3.0000,    2.0000,   -2.8545,  -45.7645,  202.1545,    0.0000, 2011.0000,    0.0000,    0.0000,   -8.4886,   -1.9000, 1009.5000,   15.0000,    2.0000,  202.1545,  -45.7645,  -50.6980,    1.4220,   -4.1062,  632.7316,  861.8920, 1130.8665,   -4.5194,   -2.6627, 1009.5000,   15.0000,    2.0000,    1.4220,  -50.6980,  -49.1932,    0.5504,  -82.6307,  608.9851,    0.0000,    0.0000,   -4.0301,   -2.5913, 1009.5000,   15.0000,    2.0000,    0.5504,  -49.1932,70086
5062,1979-06-08 12:00:00,   70.1300,  216.4200,    2.0000,   -3.0000,   -3.0000, 1018.6000, 1020.6000,   71.0000,   -3.0000,    2.0000,   -2.8553,  -45.2457,  353.7823,    0.0000, 2390.8721,    0.0000,    0.0000,  -11.6906,   -2.2000, 1018.6000,   15.0000,    2.0000,  353.7823,  -45.2457,  -49.9595,   35.3376,  -37.0555, 1337.8885,    0.0000,    0.0000,   -4.0629,   -2.3483, 1018.6000,   15.0000,    2.0000,   35.3376,  -49.9595,  -48.9147,   21.4428,  -46.5097, 1239.1379,    0.0000,    0.0000,   -3.3228,   -2.2431, 1018.6000,   15.0000,    2.0000,   21.4428,  -48.9147,70086
5160,1980-06-08 00:00:00,   70.1300,  216.4200,    2.0000,    1.0000,   -3.0000, 1013.5000, 1014.5000,   61.0000,   -0.5400,    1.0000,   -0.5712,   19.2688,  -15.4513,   11.1252,  710.0000, 1876.0000,    0.0000,   -0.0000,    1.5000, 1012.5000,   15.0000,    1.0000,   19.2688,nan,   -0.1399,   17.5771,  -15.4513,  710.0000, 1876.0000,    0.0000,   -6.0008,   -0.3723, 1012.5000,   15.0000,    2.0000,   17.5771,   -0.1399,   -0.2218,   16.4562,  -14.6227,  709.1104, 1875.9437,    0.0000,   -6.0868,   -0.4893, 1012.5000,   15.0000,    2.0000,   16.4562,   -0.2218,70086
5239,1981-01-03 00:00:00,   70.1300,  216.4200,    2.0000,  -14.0000,  -18.0000,  996.1000,  998.1000,   71.0000,  -14.7500,    2.0000,  -14.4339, -211.2872,   29.6820, -130.8520, 1125.9375,    0.0000,    0.0000,  -28.6807,  -13.9000,  995.3000,   15.0000,    2.0000,   29.6820, -211.2872, -214.1953,    8.0387, -217.6117,  732.3553,    0.0000,    0.0000,  -29.9478,  -14.6235,  995.3000,   15.0000,    2.0000,    8.0387, -214.1953, -208.6897,    7.1217, -215.0534,  722.3754,    0.0000,    0.0000,  -29.2620,  -14.3317,  995.3000,   15.0000,    2.0000,    7.1217, -208.6897,70086
5272,1981-05-26 12:00:00,   70.1300,  216.4200,    2.0000,   -1.0000,   -1.0000, 1021.7000, 1023.7000,   79.0000,   -1.0000,    2.0000,   -0.9472,  -83.3716,    4.0365,  -10.3373, 1553.2500,    0.0000,    0.0000,    8.4507,   -0.4000, 1021.3000,   15.0000,    2.0000,    4.0365,  -83.3716, -101.2160,    1.9903,  -14.3239, 1470.3424,    0.0000,    0.0000,    7.7472,   -0.8865, 1021.3000,   15.0000,    2.0000,    1.9903, -101.2160,  -97.5466,    1.7649,  -13.7759, 1464.9116,    0.0000,    0.0000,    7.3463,   -0.8757, 1021.3000,   15.0000,    2.0000,    1.7649,  -97.5466,70086
5420,1982-06-08 00:00:00,   70.1300,  216.4200,    2.0000,    2.2000,   -0.6000, 1014.2000, 1016.1000,   61.0000,    1.0300,    1.0000,    0.9342,  399.3268,    0.0000,    0.0000, 2590.3689,    0.0000,    0.0000,  -11.2977,    0.5000, 1013.9000,   15.0000,    0.0000,nan,nan,   -1.5651,  256.8485,    0.0000, 2380.9006,    0.0000,    0.0000,  -12.2429,   -0.7583, 1013.9000,   15.0000,    2.0000,  256.8485,   -1.5651,   -1.7233,  229.9837,    0.0000, 2356.1255,    0.0000,    0.0000,  -11.4375,   -0.8110, 1013.9000,   15.0000,    2.0000,  229.9837,   -1.7233,70086
5421,1982-06-08 12:00:00,   70.1300,  216.4200,    2.0000,    0.7000,   -0.6000, 1016.9000, 1018.9000,   61.0000,    0.1700,    1.0000,    0.1399,    0.7871,   -1.5441,  247.1384,   73.0909, 2356.6667,    0.0000,   -9.7122,    0.6000, 1016.9000,   15.0000,    1.0000,    0.7871,nan,   -3.8514,  222.9130,nan,   15.8565, 2310.3789,    0.0000,   -8.4834,    0.0890, 1016.9000,   15.0000,    2.0000,  222.9130,   -3.8514,   -3.8792,  205.6999,nan,    9.1980, 2304.3374,    0.0000,   -7.8352,    0.0471, 1016.9000,   15.0000,    2.0000,  205.6999,   -3.8792,70086
5423,1982-06-12 12:00:00,   70.1300,  216.4200,    2.0000,   -1.3000,   -2.2000, 1005.1000, 1007.0000,   66.0000,   -1.6500,    1.0000,   -1.5750, -190.7805,   32.8138,    0.0000, 2071.2857,    0.0000,    0.0000,    5.7143,   -1.1000, 1005.1000,   15.0000,    2.0000,   32.8138, -190.7805, -200.0379,   27.2660,    0.0000, 2027.1454,    0.0000,    0.0000,    5.1549,   -1.6284, 1005.1000,   15.0000,    2.0000,   27.2660, -200.0379, -191.1476,   24.9730,    0.0000, 2020.5245,    0.0000,    0.0000,    4.8901,   -1.5841, 1005.1000,   15.0000,    2.0000,   24.9730, -191.1476,70086
5424,1982-06-13 12:00:00,   70.1300,  216.4200,    2.0000,   -0.6000,   -1.1000, 1009.8000, 1011.7000,   79.0000,   -0.8000,    2.0000,   -0.7642, -154.7795,    5.3089,   -2.5953, 1758.5385,    0.0000,    0.0000,    8.6957,   -0.3000, 1009.1000,   15.0000,    2.0000,    5.3089, -154.7795, -163.3122,    3.0795,   -4.4801, 1679.8352,    0.0000,    0.0000,    8.3033,   -0.5728, 1009.1000,   15.0000,    2.0000,    3.0795, -163.3122, -155.8168,    2.7612,   -4.3500, 1674.1990,    0.0000,    0.0000,    7.8781,   -0.5618, 1009.1000,   15.0000,    2.0000,    2.7612, -155.8168,70086
5425,1982-06-14 00:00:00,   70.1300,  216.4200,    2.0000,    1.8000,    0.6000, 1013.1000, 1015.1000,   61.0000,    1.2900,    1.0000,    1.1939,  -90.3465,   34.4580,nan,   30.2941, 1886.6452,    0.0000,   10.9375,    0.5000, 1012.9000,   15.0000,    2.0000,   34.4580,  -90.3465,  -98.0060,   21.5715,   -3.6197, 1754.5916,    0.0000,    0.0000,    8.1928,   -0.3538, 1012.9000,   15.0000,    2.0000,   21.5715,  -98.0060,  -93.5595,   19.4197,   -3.6768, 1742.9849,    0.0000,    0.0000,    7.5850,   -0.3970, 1012.9000,   15.0000,    2.0000,   19.4197,  -93.5595,70086
5439,1982-08-28 00:00:00,   70.1300,  216.4200,    2.0000,   -0.1000,   -1.1000, 1018.6000, 1020.6000,   66.0000,   -0.5000,    1.0000,   -0.4873,  -37.8529,   36.4514,  -31.5855, 1304.4667,    0.0000,    0.0000,   -2.0446,   -0.2000, 1018.6000,   15.0000,    2.0000,   36.4514,  -37.8529,  -41.3682,   35.7061,  -33.0299, 1295.1673,    0.0000,    0.0000,   -2.8484,   -0.6919, 1018.6000,   15.0000,    2.0000,   35.7061,  -41.3682,  -39.5984,   33.3694,  -31.2374, 1293.8791,    0.0000,    0.0000,   -2.7471,   -0.6913, 1018.6000,   15.0000,    2.0000,   33.3694,  -39.5984,70086
5531,1983-06-16 12:00:00,   70.1300,  216.4200,    2.0000,   -0.4000,   -1.1000,  997.1000,  999.0000,   60.0000,   -0.6800,    1.0000,   -0.6557,  -12.7541,  481.4146,    0.0000, 2461.1293,    0.0000,    0.0000,  -16.7421,   -0.3000,  997.5000,   15.0000,    2.0000,  481.4146,  -12.7541,  -14.0259,  262.5210,    0.0000, 2162.7864,    0.0000,    0.0000,  -17.3635,   -0.5747,  997.5000,   15.0000,    2.0000,  262.5210,  -14.0259,  -13.3744,  230.6263,    0.0000, 2128.7987,    0.0000,    0.0000,  -16.1413,   -0.5634,  997.5000,   15.0000,    2.0000,  230.6263,  -13.3744,70086
5538,1983-07-15 12:00:00,   70.1300,  216.4200,    2.0000,    0.1000,    0.0000, 1016.9000, 1018.9000,   71.0000,    0.0600,    2.0000,    0.0540,    5.4028,   -4.6165,    2.2097,  481.2000, 1537.3750,    0.0000,    0.7003,    0.1000, 1016.6000,   15.0000,    1.0000,    5.4028,nan,   -0.1024,    4.0390,   -6.4278,  448.0755, 1493.1637,    0.0000,    0.3924,   -0.1766, 1016.6000,   15.0000,    2.0000,    4.0390,   -0.1024,   -0.1190,    3.7272,   -6.2095,  445.5647, 1490.0549,    0.0000,    0.3470,   -0.1871, 1016.6000,   15.0000,    2.0000,    3.7272,   -0.1190,70086
5697,1984-09-13 00:00:00,   70.1300,  216.4200,    2.0000,   -3.2000,   -4.4000, 1011.5000, 1013.4000,   71.0000,   -3.6200,    2.0000,   -3.4699,  -43.5777,  109.5652,  -20.7548, 1564.0000,    0.0000,    0.0000,  -10.6349,   -2.9000, 1011.9000,   15.0000,    2.0000,  109.5652,  -43.5777,  -52.6794,    2.7379, -153.3772,  670.4130,    0.0000,    0.0000,   -6.8741,   -3.2847, 1011.9000,   15.0000,    2.0000,    2.7379,  -52.6794,  -51.2291,    1.7040, -162.1910,  659.6652,    0.0000,    0.0000,   -6.2782,   -3.1585, 1011.9000,   15.0000,    2.0000,    1.7040,  -51.2291,70086
5839,1985-09-29 00:00:00,   70.1300,  216.4200,    2.0000,   -0.1000,   -1.1000, 1001.5000, 1003.5000,   61.0000,   -0.5000,    1.0000,   -0.4909,   -3.4472,  174.6171,  -27.8131, 1477.9767,    0.0000,    0.0000,  -10.9453,   -0.2000, 1001.7000,   15.0000,    2.0000,  174.6171,   -3.4472,   -5.6590,  149.8834,  -29.2034, 1466.2243,    0.0000,    0.0000,   -9.4237,   -0.5859, 1001.7000,   15.0000,    2.0000,  149.8834,   -5.6590,   -5.5194,  137.9743,  -28.0326, 1463.5138,    0.0000,    0.0000,   -8.6984,   -0.5824, 1001.7000,   15.0000,    2.0000,  137.9743,   -5.5194,70086
5889,1985-12-23 12:00:00,   70.1300,  216.4200,    2.0000,   -8.2000,   -9.4000,  998.6000, 1000.8000,   71.0000,   -8.5400,    2.0000,   -8.2437, -168.3151,    8.7975,  -51.1315, 1207.0000,    0.0000,    0.0000,   -8.7935,   -7.8000, 1000.0000,   15.0000,    2.0000,    8.7975, -168.3151, -171.9096,    1.6447,  -91.8788, 1037.6164,    0.0000,    0.0000,   -9.8398,   -8.3604, 1000.0000,   15.0000,    2.0000,    1.6447, -171.9096, -165.7722,    1.2449,  -90.0624, 1029.9383,    0.0000,    0.0000,   -9.6632,   -8.1029, 1000.0000,   15.0000,    2.0000,    1.2449, -165.7722,70086
5980,1986-10-11 00:00:00,   70.1300,  216.4200,    2.0000,   -1.7000,   -3.3000,  984.3000,  986.2000,   71.0000,   -2.3000,    2.0000,   -2.2095,  -15.7507,   77.7542,  -42.9939, 1294.4110,    0.0000,    0.0000,  -14.3229,   -2.3000,  985.1000,   15.0000,    2.0000,   77.7542,  -15.7507,  -26.4070,   10.1405,  -47.6953, 1255.3000,    0.0000,    0.0000,   -9.3291,   -3.0596,  985.1000,   15.0000,    2.0000,   10.1405,  -26.4070,  -26.2788,    1.4475,   -0.4065,  625.9221, 1251.7787,    0.0000,   -8.5329,   -2.9691,  985.1000,   15.0000,    2.0000,    1.4475,  -26.2788,70086
6062,1987-05-26 12:00:00,   70.1300,  216.4200,    2.0000,   -4.4000,   -5.0000, 1002.9000, 1005.0000,   71.0000,   -4.6000,    2.0000,   -4.4069,  -80.6836,   57.6910,  -25.8200, 1586.0000,    0.0000,    0.0000,   -8.4567,   -4.0000, 1003.4000,   15.0000,    2.0000,   57.6910,  -80.6836,  -87.0547,    6.8639, -128.9885,  849.4978,    0.0000,    0.0000,   -8.0863,   -4.2282, 1003.4000,   15.0000,    2.0000,    6.8639,  -87.0547,  -83.8206,    5.5004, -132.8510,  820.5879,    0.0000,    0.0000,   -7.7036,   -4.0530, 1003.4000,   15.0000,    2.0000,    5.5004,  -83.8206,70086
6198,1988-08-23 00:00:00,   70.1300,  216.4200,    2.0000,    0.6000,    0.0000, 1006.4000, 1008.4000,   61.0000,    0.3500,    1.0000,    0.3209,  -39.0719,   21.4025,nan,   49.0000, 1718.0000,    0.0000,    4.1796,    0.7000, 1006.1000,   15.0000,    2.0000,   21.4025,  -39.0719,  -54.7836,   13.6873,nan,   25.2286, 1598.0765,    0.0000,    4.4769,    0.4139, 1006.1000,   15.0000,    2.0000,   13.6873,  -54.7836,  -53.0504,   12.3826,nan,   23.6417, 1590.0199,    0.0000,    4.2648,    0.3701, 1006.1000,   15.0000,    2.0000,   12.3826,  -53.0504,70086
